Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Parabola,https://www.crunchbase.com/organization/parabola,Financial Services,"Charleston, South Carolina, United States",Parabola is a SaaS for financial advisors. We use gamification to automatically track a user's progress against financial goals.,"43,733",4/3/15,,1,4/3/15,75000,Seed,75000,Operating
Worklife,https://www.crunchbase.com/organization/worklife,"Apps, Software, Internet Services, Mobile","San Francisco, California, United States","Worklife is a web and mobile app that helps teams run highly productive, engaging meetings.","9,967",1/1/14,,3,4/5/15,1700000,Seed,2720000,Was Acquired
inRentive,https://www.crunchbase.com/organization/inrentive,Real Estate,"Chicago, Illinois, United States",inRentive is a cloud-based platform that facilitates the management of multifamily housing listings and vacancy content.,"43,581",8/1/12,,1,4/6/15,100000,Seed,100000,Operating
PrayerSpark,https://www.crunchbase.com/organization/prayerspark,"Apps, Software, Mobile","Las Vegas, Nevada, United States","SaaS White Label Clinical Mobile apps providing spiritual support for Addiction Recovery, Hospice, PTSD, and more.","41,909",5/23/13,,3,4/6/15,65000,Seed,115000,Operating
Nibble,https://www.crunchbase.com/organization/nibble-2,,"California, United States, North America",Business solutions agency offering custom ticketing platform for events and experiences for loyalty programs.,"42,770",11/14/13,,2,4/6/15,600000,Seed,625000,Operating
Slidejoy,https://www.crunchbase.com/organization/slidejoy,"Platforms, Software, Sales and Marketing, Mobile, Advertising","New York, New York, United States",Slidejoy is an Android app that rewards users to have trending news and promotions appear on their lock screens.,"20,379",1/1/14,,1,4/6/15,1200000,Seed,1200000,Was Acquired
Amberjack,https://www.crunchbase.com/organization/amberjack-2,"Travel and Tourism, Community and Lifestyle, Internet Services","New York, New York, United States","Your gateway to the world's best fishing guides, bass boats, deep sea charters, and remote fishing lodges. Book your next adventure today.","32,115",3/9/15,,1,4/6/15,500000,Seed,500000,Operating
Haystack TV,https://www.crunchbase.com/organization/haystacktv,"Media and Entertainment, Video, Content and Publishing","Redwood City, California, United States",Haystack TV finds and picks the most important video news and presents it to you in your own personalized headline news channel.,"18,167",1/1/13,,1,4/7/15,1700000,Seed,1700000,Operating
TestNest,https://www.crunchbase.com/organization/testnest,"Data and Analytics, Mobile","San Francisco, California, United States","A/B testing for apps meta-information: icon, screenshots, description and more","47,619",6/1/14,,1,4/7/15,150000,Seed,150000,Operating
Persistent Efficiency,https://www.crunchbase.com/organization/persistent-efficiency,"Energy, Sustainability, Data and Analytics","Berkeley, California, United States",Persistent Efficiency produces and commercializes sustainable energy-monitoring solutions.,"25,602",1/1/13,,1,4/8/15,1100000,Seed,1100000,Operating
