Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Elephant.is,https://www.crunchbase.com/organization/elephant-is,"Software, Education, Internet Services","Brooklyn, New York, United States",Elephant.is is an interactive online classroom that helps users develop knowledge and skills in the English language and the arts.,"56,704",1/1/12,,1,5/1/12,100000,Seed,100000,Closed
Gamblino,https://www.crunchbase.com/organization/gamblino,"Gaming, Media and Entertainment, Sports, Internet Services","New York, New York, United States",Gamblino is a mobile application thatŒæprovides users withŒæthe opportunity to bet on typical sports wagers.,"46,679",5/1/12,,1,5/1/12,120000,Seed,120000,Operating
POS on CLOUD,https://www.crunchbase.com/organization/pos-on-cloud,"Commerce and Shopping, Software, Internet Services","Louisville, Kentucky, United States",POS on Cloud is a cloud-based point of sale system for small business merchants to process their merchant transactions online.,"47,731",5/24/12,,1,5/1/12,100000,Seed,100000,Operating
Couple,https://www.crunchbase.com/organization/couple,"Platforms, Hardware, Consumer Electronics, Software, Mobile","San Francisco, California, United States","Couple is an app that enables users to stay connected with their partners via text messaging, video and photo sharing, and sketching.","10,951",1/1/12,,2,5/2/12,4200000,Seed,4225888,Was Acquired
VMO Systems,https://www.crunchbase.com/organization/vmo-systems,"Media and Entertainment, Administrative Services, Mobile","Boulder, Colorado, United States","VMO Systems, a mobile server and content delivery technology company, develops handheld microservers used for defense purposes.","36,021",2/1/12,,1,5/7/12,2592115,Seed,2592115,Operating
Rocket Listings,https://www.crunchbase.com/organization/rocket-listings,"Commerce and Shopping, Software","Burlington, Vermont, United States",Rocket Listings is a mix of Craigslist and Facebook launching in Vermont.,"60,698",5/5/12,,1,5/10/12,25000,Seed,25000,Operating
Altar,https://www.crunchbase.com/organization/altar,"Travel and Tourism, Food and Beverage","Lake Oswego, Oregon, United States","Altar offers Herbal & Botanical Mood Mixerä‹¢, which can be enjoyed without alcohol or mixed with fine spirits.","47,740",1/1/12,,1,5/11/12,210000,Seed,210000,Operating
ProfStream,https://www.crunchbase.com/organization/profstream,"Software, Education","San Francisco, California, United States",ProfStream is a curriculum development and distribution tool that uses Git and Markdown.,"48,898",3/1/16,,1,5/14/12,100000,Seed,100000,Operating
Cnekt,https://www.crunchbase.com/organization/cnekt,"Media and Entertainment, Internet Services","New York, New York, United States",Cnekt is a global social networking site that allows users to connect with one another based on preferences and location in real time.,"51,535",5/1/12,,1,5/15/12,200000,Seed,200000,Operating
27 Perry,https://www.crunchbase.com/organization/27-perry,"Commerce and Shopping, Financial Services","Boulder, Colorado, United States",27 Perry provides a curated online marketplace for consignment stores.,"46,891",1/1/12,1/1/13,1,5/17/12,118000,Seed,118000,Closed
Pintics,https://www.crunchbase.com/organization/pintics,"Media and Entertainment, Data and Analytics, Internet Services","San Jose, California, United States",Pintics provides Pinterest users with tools and metrics needed to manage and optimize the traffic generated from their Pins.,"60,201",1/10/12,10/31/12,1,5/18/12,10000,Seed,10000,Closed
Not iT,https://www.crunchbase.com/organization/not-it,"Gaming, Apps, Software","Birmingham, Alabama, United States",Not It is an online social network that adopts the early childhood game Not iT in task delegation.,"63,191",4/24/12,,1,5/24/12,55000,Seed,55000,Operating
Deep Brain Innovations,https://www.crunchbase.com/organization/deep-brain-innovations,"Biotechnology, Science and Engineering, Health Care","Cleveland, Ohio, United States","Deep Brain Innovations medical device company, develops deep brain stimulation (DBS) systems.","52,924",1/1/12,,1,5/30/12,250000,Seed,250000,Operating
Picvoice,https://www.crunchbase.com/organization/picvoice,"Media and Entertainment, Content and Publishing","San Diego, California, United States",Picvoice lets you attach a voice recording to your photographs so you can share priceless moments in your life.,"69,037",5/20/12,,1,5/30/12,5000,Seed,5000,Closed
PollVaultr,https://www.crunchbase.com/organization/pollvaultr,Software,"Cupertino, California, United States",PollVaultr develops software to improve short customer surveys at checkouts.,"61,657",1/1/12,,1,5/30/12,60000,Seed,60000,Closed
atCollab,https://www.crunchbase.com/organization/atcollab,"Software, Transportation, Internet Services","New York, New York, United States",atCollab is a web-based application that helps organize transparent procurement processes in companies.,"57,798",6/1/12,,1,6/1/12,40000,Seed,40000,Operating
Behavio,https://www.crunchbase.com/organization/behavio,Software,"Sunnyvale, California, United States","Behavio develops software and services that allow mobile devices to sense, understand, and react to human behavior and context.","38,605",1/1/12,,1,6/1/12,355000,Seed,355000,Was Acquired
Bellinity,https://www.crunchbase.com/organization/nonpareil,"Media and Entertainment, Professional Services, Internet Services","Santa Monica, California, United States",Bellinity is a portal for connecting fans with Influencers.,"56,825",1/1/12,,1,6/1/12,100000,Seed,100000,Operating
Cureeo,https://www.crunchbase.com/organization/cureeo,"Commerce and Shopping, Media and Entertainment","Chicago, Illinois, United States",Cureeo is an online marketplace that offers original and limited edition artwork to collectors and novice art enthusiasts.,"40,729",1/1/12,,1,6/1/12,75000,Seed,75000,Operating
dxcare.com,https://www.crunchbase.com/organization/dxcare-com,Health Care,"Chicago, Illinois, United States",dxcare is a secure social media platform that connects family caregivers with healthcare organizations worldwide.,"53,159",4/1/12,1/1/14,1,6/1/12,250000,Seed,250000,Closed
E & E Capital Management,https://www.crunchbase.com/organization/e-e-capital-management,"Real Estate, Financial Services","Atlanta, Georgia, United States",Personalized Real Estate investing and property managing,"43,930",1/1/12,,1,6/1/12,4000000,Seed,4000000,Operating
FortressFoneä‹¢ Technologies Company,https://www.crunchbase.com/organization/fortressfone--technologies-company,"Platforms, Apps, Hardware, Information Technology, Consumer Electronics, Software, Privacy and Security, Mobile","Arlington, Virginia, United States","FortressFoneä‹¢ is a fully hardened commercial Smartphone system. Includes secure mobile phones, desk phones and a secure cloud.","40,712",6/1/12,12/31/15,1,6/1/12,1000000,Seed,1000000,Closed
iFormulary,https://www.crunchbase.com/organization/iformulary,"Commerce and Shopping, Sports, Health Care, Internet Services","Minneapolis, Minnesota, United States","iFormulary, an e-commerce retailer, provides solutions that assist its users in achieving their fitness goals.","48,757",1/1/12,,1,6/1/12,719000,Seed,719000,Operating
NoviMedicine,https://www.crunchbase.com/organization/novimedicine,Health Care,"California, Kentucky, United States","NoviMedicine connects patients to doctors, focusing on reducing the barriers of consulting a dermatologist.","59,128",1/1/12,1/1/14,1,6/1/12,20000,Seed,20000,Closed
PsyQic,https://www.crunchbase.com/organization/psyqic,"Platforms, Software, Mobile","Syracuse, New York, United States","PsyQic is an online platform enabling users to share predictions on sports, politics, TV shows, business, science, and more.","64,443",2/1/12,,1,6/1/12,15000,Seed,15000,Operating
Reclip.It,https://www.crunchbase.com/organization/reclip-it,Commerce and Shopping,"Mountain View, California, United States",Reclip.It is a social discovery siteŒæhelpingŒæusers save money by matching list items with digital coupons and weekly ads from retail stores.,"26,476",1/1/12,,2,6/1/12,70000,Seed,840000,Was Acquired
SceneShot,https://www.crunchbase.com/organization/sceneshot,"Platforms, Travel and Tourism, Media and Entertainment, Information Technology, Events, Software, Internet Services, Privacy and Security, Content and Publishing, Mobile","Los Angeles, California, United States",SceneShot offers a social media presence and customer engagement tool that enables businesses to spend less time on social media.,"54,526",1/1/12,,1,6/1/12,100000,Seed,100000,Operating
Southern Alpha,https://www.crunchbase.com/organization/southern-alpha,"Media and Entertainment, Content and Publishing","Nashville, Tennessee, United States",Southern/alpha launched as an online news property to tell the story of Southern startups.,"54,910",1/1/12,,1,6/1/12,175000,Seed,175000,Operating
TalkApolis,https://www.crunchbase.com/organization/talkapolis,"Media and Entertainment, Internet Services, Video, Mobile","Nashville, Tennessee, United States",TalkApolis is a social media delivered video network aimed at local users everywhere. Nashville - our launch city - has had 1.,"59,897",6/1/12,,1,6/1/12,15000,Seed,15000,Operating
CaterCow,https://www.crunchbase.com/organization/catercow,Travel and Tourism,"New York, New York, United States",Discover & order unique food for your group.,"43,197",6/1/12,,1,6/4/12,25000,Seed,25000,Operating
Key Health Institute of Edmond,https://www.crunchbase.com/organization/key-health-institute-of-edmond,"Community and Lifestyle, Health Care","Edmond, Oklahoma, United States","Key Health Institute Edmond offers integrated wellness systems supervised by exercise physiologists, nutritionists and physical therapists.","58,197",1/1/12,,1,6/7/12,100000,Seed,100000,Operating
InfernoRed Technology,https://www.crunchbase.com/organization/infernored-technology,Software,"Blacksburg, Virginia, United States",InfernoRed Technology is a software development services company.,"63,641",6/1/12,,1,6/9/12,9000,Seed,9000,Operating
PeerJ,https://www.crunchbase.com/organization/peerj,"Media and Entertainment, Data and Analytics, Education, Content and Publishing","Corte Madera, California, United States",PeerJ is an open access peer-reviewed scientific journal covering research in the biological and medical sciences.,"37,423",6/1/12,,1,6/11/12,950000,Seed,950000,Operating
"Nouvou, Inc.",https://www.crunchbase.com/organization/nouvou-inc,"Software, Mobile","Santa Clara, California, United States",Nouvou offers mobile file sharing and encryption solutions for enterprises.,"45,844",1/1/12,,1,6/12/12,250000,Seed,250000,Operating
Silo Labs,https://www.crunchbase.com/organization/silo-labs,"Media and Entertainment, Internet Services, Mobile","Irvine, California, United States","Silo Labs offers a real-time search engine for curating and categorizing crowdsourced, location-based and hashtag-based photos.","49,047",6/15/12,,1,6/15/12,220000,Seed,220000,Operating
